"zip","city","county","state","pop"
"32566","Navarre","Santa Rosa","FL",38112
"32216","Jacksonville","Duval","FL",38073
"34293","Venice","Sarasota","FL",37969
"34203","Bradenton","Manatee","FL",37632
"33183","Miami","Miami-Dade","FL",37504
"33914","Cape Coral","Lee","FL",37375
"32714","Altamonte Springs","Seminole","FL",37223
"33813","Lakeland","Polk","FL",37211
"33060","Pompano Beach","Broward","FL",37168
"32065","Orange Park","Clay","FL",37160
"33905","Fort Myers","Lee","FL",37081
"32506","Pensacola","Escambia","FL",36923
"34207","Bradenton","Manatee","FL",36738
"33076","Pompano Beach","Broward","FL",36600
"34116","Naples","Collier","FL",36531
"32826","Orlando","Orange","FL",36464
"33435","Boynton Beach","Palm Beach","FL",36423
"33056","Opa Locka","Miami-Dade","FL",36409
"32526","Pensacola","Escambia","FL",36300
"33908","Fort Myers","Lee","FL",36071
"32724","Deland","Volusia","FL",36047
"32207","Jacksonville","Duval","FL",35917
"33030","Homestead","Miami-Dade","FL",35701
"33410","West Palm Beach","Palm Beach","FL",35597
"33351","Fort Lauderdale","Broward","FL",35581
"33594","Valrico","Hillsborough","FL",35465
"32209","Jacksonville","Duval","FL",35436
"32780","Titusville","Brevard","FL",35399
"32571","Milton","Santa Rosa","FL",35388
"32707","Casselberry","Seminole","FL",35369
"32817","Orlando","Orange","FL",35317
"33801","Lakeland","Polk","FL",35305
"33844","Haines City","Polk","FL",35280
"32812","Orlando","Orange","FL",35101
"34653","New Port Richey","Pasco","FL",35015
"33613","Tampa","Hillsborough","FL",34941
"34785","Wildwood","Sumter","FL",34933
"32034","Fernandina Beach","Nassau","FL",34928
"32084","Saint Augustine","Saint Johns","FL",34892
"34209","Bradenton","Manatee","FL",34794
"33040","Key West","Monroe","FL",34784
"33073","Pompano Beach","Broward","FL",34652
"32092","Saint Augustine","Saint Johns","FL",34642
"34232","Sarasota","Sarasota","FL",34639
"32211","Jacksonville","Duval","FL",34607
"32503","Pensacola","Escambia","FL",34520
"34608","Spring Hill","Hernando","FL",34476
"33133","Miami","Miami-Dade","FL",34460
"32807","Orlando","Orange","FL",34306
"33156","Miami","Miami-Dade","FL",34167
"33174","Miami","Miami-Dade","FL",34015
"34667","Hudson","Pasco","FL",33960
"33710","Saint Petersburg","Pinellas","FL",33883
"33409","West Palm Beach","Palm Beach","FL",33875
"33952","Port Charlotte","Charlotte","FL",33662
"33756","Clearwater","Pinellas","FL",33649
"33127","Miami","Miami-Dade","FL",33464
"33881","Winter Haven","Polk","FL",33463
"32547","Fort Walton Beach","Okaloosa","FL",33339
"33417","West Palm Beach","Palm Beach","FL",33287
"33462","Lake Worth","Palm Beach","FL",33173
